canonical_name,entity_name,similarity_score,count,group_id
MIC UNIT TRUST,JIB UNIT TRUST,85.71428571428572,1,2886
MGFO.ASX,MGFO.ASX,100.0,1,2888
MGFO.ASX,MGF.ASX,93.33333333333333,1,2888
MFFO (self),MFFO (self),100.0,1,2890
MFFO (self),MFF (self),95.23809523809523,1,2890
MFFO (Pokana),MFFO (Pokana),100.0,1,2892
MFFO (Pokana),MFF (Pokana),96.0,1,2892
"MEMBERS EQUITY BANK, AMERICAN EXPRESS","MEMBERS EQUITY BANK, AMERICAN EXPRESS",100.0,1,2894
"MEMBERS EQUITY BANK, AMERICAN EXPRESS","MEMBERS EQUITI BANK, AMERICAN EXPRESS",97.2972972972973,1,2894
Lord Baden Powell Society (Scouting Assoc.),Lord Baden Powell Society (Scouting Assoc.),100.0,1,2896
Lord Baden Powell Society (Scouting Assoc.),Lord Baden Powell Society (Scouting Assc.),98.82352941176471,1,2896
Live@Live,Live@Live,100.0,1,2898
Live@Live,Live@ Live,84.21052631578947,1,2898
Live@Live,Live @ Live,80.0,1,2899
Lithgow RSL Sub-Branch,Lithgow RSL Sub-Branch,100.0,1,2901
Lithgow RSL Sub-Branch,Hawthorn RSL Sub-Branch,80.0,1,2901
Lions Club,Lions Club,100.0,1,2903
Lions Club,Lion's Club,95.23809523809523,1,2903
Lion Brewery,Lion Brewery,100.0,1,2905
Lion Brewery,Lion Beer,85.71428571428572,1,2905
Lion Beer Australia,Lion Beer Australia,100.0,1,2907
Lion Beer Australia,Beef Australia Ltd,81.08108108108108,1,2907
Lifestyle Communities Shares,Lifestyle Communities Shares,100.0,1,2909
Lifestyle Communities Shares,Lifestyle Communities,85.71428571428572,1,2909
Leander,Leander,100.0,1,2911
Leander,Leadvert,80.0,1,2911
League,League,100.0,1,2913
League,A League,85.71428571428572,1,2913
Launceston Golf Club,Launceston Golf Club,100.0,1,2915
Launceston Golf Club,Launceston Club,85.71428571428572,1,2915
Launceston Golf Club,Launceston Football Club,81.81818181818181,1,2916
Launceston Bowls Club,Launceston Bowls Club,100.0,1,2918
Launceston Bowls Club,Frankston Bowls Club,82.92682926829268,1,2918
"Lammermoor, Yeppoon QLD","Lammermoor, Yeppoon QLD",100.0,1,2920
"Lammermoor, Yeppoon QLD","Cammermoor, Yeppoon",85.71428571428572,1,2920
"Kuwait Parliament, Palestinian Authority","Kuwait Parliament, Palestinian Authority",100.0,1,2922
"Kuwait Parliament, Palestinian Authority",Kuwait Parliament and Palestinian Authority,93.97590361445783,1,2922
Kusatsu Pty Ltd,Kusatsu Pty Ltd,100.0,1,2924
Kusatsu Pty Ltd,Kusatsu Lty Limited,82.35294117647058,1,2924
"King Henry Cafe, Sassafras","King Henry Cafe, Sassafras",100.0,1,2926
"King Henry Cafe, Sassafras",King Henry Arts Sassafras,82.35294117647058,1,2926
Kids Tennis Foundation,Kids Tennis Foundation,100.0,1,2928
Kids Tennis Foundation,Kid's Tennis Foundation,97.77777777777777,1,2928
Khalil Family Trust/Arcana Partners PTY LTD,Khalil Family Trust/Arcana Partners PTY LTD,100.0,1,2930
Khalil Family Trust/Arcana Partners PTY LTD,Khalil Family Trust /Arcana Partners PTY LTD,82.75862068965517,1,2930
Kensington Park SA,Kensington Park SA,100.0,1,2932
Kensington Park SA,Kensington Park,90.9090909090909,1,2932
"Kelowna, British Columbia, Canada.","Kelowna, British Columbia, Canada.",100.0,1,2934
"Kelowna, British Columbia, Canada.","Kelowna, British Columbia, Canada",98.50746268656717,1,2934
KSX Pty Ltd,KSX Pty Ltd,100.0,1,2936
KSX Pty Ltd,ISN Pty Ltd,81.81818181818181,1,2936
KLARE (QLD) Pty Ltd,KLARE (QLD) Pty Ltd,100.0,1,2938
KLARE (QLD) Pty Ltd,KLARE (QId) Pty Ltd,89.47368421052632,1,2938
KJ & AJ Pitt Super Fund No. 2 Trustee K & A Pitt Super Pty Ltd,KJ & AJ Pitt Super Fund No. 2 Trustee K & A Pitt Super Pty Ltd,100.0,1,2940
KJ & AJ Pitt Super Fund No. 2 Trustee K & A Pitt Super Pty Ltd,K & A Pitt Super Pty Ltd Trustee for KJ & AJ Pitt Super Fund No. 2,96.875,1,2940
KJ & AJ Pitt Super Fund No. 2 Trustee K & A Pitt Super Pty Ltd,K & A Pitt Super Pty Ltd Trustee for KJ & AJ Pitt Super Fund No 2,96.06299212598425,1,2941
KJ & AJ Pitt Super Fund No. 2 Trustee K & A Pitt Super Pty Ltd,KJ & AJ Pitt Super Fund No. 2 / K & A Pitt Super Pty Ltd,91.52542372881356,1,2942
KJ & AJ Pitt Super Fund No. 2 Trustee K & A Pitt Super Pty Ltd,K & A Pitt Pty Ltd ATF KJ & AJ Pitt Superfund No 2,80.35714285714286,1,2943
KJ & AJ Pitt Family Trust /KLARE (QId) Pty Ltd,KJ & AJ Pitt Family Trust /KLARE (QId) Pty Ltd,100.0,1,2945
KJ & AJ Pitt Family Trust /KLARE (QId) Pty Ltd,K & A Pitt Family Trust / KLARE (Qld) Pty Ltd,83.51648351648352,1,2945
KIRRIBILLI EX-SERVICES CLUB LTD,KIRRIBILLI EX-SERVICES CLUB LTD,100.0,1,2947
KIRRIBILLI EX-SERVICES CLUB LTD,KIRRIBILLI EX-SERVICES CLUB,93.10344827586206,1,2947
"KINGSTON, ACT","KINGSTON, ACT",100.0,1,2949
"KINGSTON, ACT",KINGSTON ACT,96.0,1,2949
KINGSIZE HOLDINGS PTY LTD,KINGSIZE HOLDINGS PTY LTD,100.0,1,2951
KINGSIZE HOLDINGS PTY LTD,KINGSIZE HOLDING P/L,80.0,1,2951
KI Wines by Geoff Hardy,KI Wines by Geoff Hardy,100.0,1,2953
KI Wines by Geoff Hardy,K1 Wines by Geoff Hardy,95.65217391304348,1,2953
K.D.Investmentss (Qld) Pty Ltd,K.D.Investmentss (Qld) Pty Ltd,100.0,1,2955
K.D.Investmentss (Qld) Pty Ltd,K.D.Investments (Qld) Pty Ltd,98.30508474576271,1,2955
John Deere Financial Ltd.,John Deere Financial Ltd.,100.0,1,2957
John Deere Financial Ltd.,John Deere Financial Ltd,97.95918367346938,1,2957
