Name,Party,Electorate,Parliament,Start_Year,End_Year,scraped_date
Kristy McBain [a],Australian Labor Party,Eden-Monaro,46,2019,2022,2025-03-23
Mike Kelly [a],Australian Labor Party,Eden-Monaro,46,2019,2022,2025-03-23
Matt Keogh,Australian Labor Party,Burt,46,2019,2022,2025-03-23
Peter Khalil,Australian Labor Party,Wills,46,2019,2022,2025-03-23
Catherine King,Australian Labor Party,Ballarat,46,2019,2022,2025-03-23
Anika Wells,Australian Labor Party,Lilley,46,2019,2022,2025-03-23
Lucy Wicks,Liberal Party of Australia,Robertson,46,2019,2022,2025-03-23
Andrew Wilkie,Independent,Clark,46,2019,2022,2025-03-23
Josh Wilson,Australian Labor Party,Fremantle,46,2019,2022,2025-03-23
Ted O'Brien,Liberal National Party,Fairfax,46,2019,2022,2025-03-23
Brendan O'Connor,Australian Labor Party,Gorton,46,2019,2022,2025-03-23
Ken O'Dowd,Liberal National Party,Flynn,46,2019,2022,2025-03-23
Clare O'Neil,Australian Labor Party,Hotham,46,2019,2022,2025-03-23
Terry Young,Liberal National Party,Longman,46,2019,2022,2025-03-23
Tony Zappia,Australian Labor Party,Makin,46,2019,2022,2025-03-23
Trent Zimmerman,Liberal Party of Australia,North Sydney,46,2019,2022,2025-03-23
Graham Perrett,Australian Labor Party,Moreton,46,2019,2022,2025-03-23
Fiona Phillips,Australian Labor Party,Gilmore,46,2019,2022,2025-03-23
Keith Pitt,Liberal National Party,Hinkler,46,2019,2022,2025-03-23
Tanya Plibersek,Australian Labor Party,Sydney,46,2019,2022,2025-03-23
Daniel Mulino,Australian Labor Party,Fraser,46,2019,2022,2025-03-23
Peta Murphy,Australian Labor Party,Dunkley,46,2019,2022,2025-03-23
Shayne Neumann,Australian Labor Party,Blair,46,2019,2022,2025-03-23
Llew O'Brien,Liberal National Party,Wide Bay,46,2019,2022,2025-03-23
Stuart Robert,Liberal National Party,Fadden,46,2019,2022,2025-03-23
Michelle Rowland,Australian Labor Party,Greenway,46,2019,2022,2025-03-23
Joanne Ryan,Australian Labor Party,Lalor,46,2019,2022,2025-03-23
Rebekha Sharkie,Centre Alliance,Mayo,46,2019,2022,2025-03-23
Julie Owens,Australian Labor Party,Parramatta,46,2019,2022,2025-03-23
Tony Pasin,Liberal Party of Australia,Barker,46,2019,2022,2025-03-23
Alicia Payne,Australian Labor Party,Canberra,46,2019,2022,2025-03-23
Gavin Pearce,Liberal Party of Australia,Braddon,46,2019,2022,2025-03-23
Dan Tehan,Liberal Party of Australia,Wannon,46,2019,2022,2025-03-23
Susan Templeman,Australian Labor Party,Macquarie,46,2019,2022,2025-03-23
Matt Thistlethwaite,Australian Labor Party,Kingsford Smith,46,2019,2022,2025-03-23
Phillip Thompson,Liberal National Party,Herbert,46,2019,2022,2025-03-23
Ross Vasta,Liberal National Party,Bonner,46,2019,2022,2025-03-23
Andrew Wallace,Liberal National Party,Fisher,46,2019,2022,2025-03-23
Tim Watts,Australian Labor Party,Gellibrand,46,2019,2022,2025-03-23
Anne Webster,National Party of Australia,Mallee,46,2019,2022,2025-03-23
James Stevens,Liberal Party of Australia,Sturt,46,2019,2022,2025-03-23
Michael Sukkar,Liberal Party of Australia,Deakin,46,2019,2022,2025-03-23
Meryl Swanson,Australian Labor Party,Paterson,46,2019,2022,2025-03-23
Angus Taylor,Liberal Party of Australia,Hume,46,2019,2022,2025-03-23
Rick Wilson,Liberal Party of Australia,O'Connor,46,2019,2022,2025-03-23
Tim Wilson,Liberal Party of Australia,Goldstein,46,2019,2022,2025-03-23
Jason Wood,Liberal Party of Australia,La Trobe,46,2019,2022,2025-03-23
