id,mp_name,party,electorate,declaration_date,category,sub_category,entity,canonical_entity,item,details
c226500f-47db-464b-8c69-077fa0a12330,Bruce Fredrick Billson,Liberal Party of Australia,Dunkley,2013-12-05,Gift,Hospitality,"Asciano, Electorate Office","Asciano, Electorate Office","Moet & Chandon, FOXTEL Package, Wine, Cufflinks","Moët & Chandon Impérial from Asciano, FOXTEL News Package - Electorate Office, Vegemite 90th birthday celebrations-cheersdartupyjamas ERA National Conference Presenter Gift-bottle of wine Ausf customer service Excellence Award - presenter gift - cufflentes"
6fdfd450-33ba-47a1-a372-74a651fc2e5f,Bruce Fredrick Billson,Liberal Party of Australia,Dunkley,2015-05-13,Gift,Entertainment,Carlton and United Breweries,Carlton & United Breweries,Tickets and hospitality for AFL Match,"AFL Round 4, Collingwood vs Essendon, Tickets and hospitality for Minister and Mrs Kate Billson"
01286a96-7801-4e01-8450-4905580a9efa,Sharon Bird,Australian Labor Party,Cunningham,2013-12-09,Asset,Other Asset,PSS /AGEST,PSS /AGEST,Superannuation,Superannuation
3baf7b7e-c090-4405-b8e5-9540449b1d37,Sharon Bird,Australian Labor Party,Cunningham,2015-07-15,Travel,Other Travel,Australian Israel and Jewish Affairs Council (AIJAC),Australian Israel and Jewish Affairs Council,Study tour of Israel and West Bank,"Study tour of Israel and West Bank (4-11 July 2015). Australian Israel and Jewish Affairs Council (AIJAC) provided business class return flights (Tel Aviv), accommodation, meals, internal flights and other transport."
6bad4073-a0c4-4e83-adb1-0498942e9d85,Bronwyn Kathleen Bishop,Liberal Party of Australia,Mackellar,2014-06-03,Gift,Entertainment,"Manly Sea Eagles, NRMA","Manly Sea Eagles, NRMA",4 Tickets to Manly Sea Eagles v Newcastle Knights Rugby League Game in Corporate Box,"4 Tickets to Manly Sea Eagles v Newcastle Knights Rugby League Game in Corporate Box, 19 May 2014, Manly Sea Eagles NRMA"
7b96b4a4-f24b-4cac-9b3b-71ea78efe19c,Bronwyn Kathleen Bishop,Liberal Party of Australia,Mackellar,2014-07-14,Gift,Entertainment,"Anthony Johnston, URM Managing Director","Anthony Johnston, URM Managing Director",Ticket to Manly vs West Tigers Rugby League Game,"1 x ticket to Manly vs West Tigers, Friday 11 July 2014 Brookvale Oval, Guest of Anthony Johnston, URM Managing Director"
d47d918e-42f3-444f-9b0f-6b83b83c10d1,Bronwyn Kathleen Bishop,Liberal Party of Australia,Mackellar,2015-02-10,Unknown,Other,Marilyn and Gary Nicholas,Marilyn and Gary Nicholas,Penfolds St Henri Shiraz-Cabernet 1994 vintage,Penfolds St Henri Shiraz-Cabernet 1994 vintage - received from Marilyn and Gary Nicholas
f5dcedce-5dba-4441-b7ee-dc0d9beaec90,Bronwyn Kathleen Bishop,Liberal Party of Australia,Mackellar,2015-02-10,Unknown,Other,"Jonah's, Whale Beach","Jonah's, Whale Beach",Copies of Icons,"10 copies of Icons - received from Jonah's, Whale Beach"
c28d1d86-e0a6-4092-9236-253d389530dc,Bronwyn Kathleen Bishop,Liberal Party of Australia,Mackellar,2015-03-18,Gift,Decorative,"Mr Wade Mark, Speaker of Trinidad and Tobago","Mr Wade Mark, Speaker of Trinidad and Tobago",Artwork by Joanna Aldred,"Artwork by Joanna Aldred, from Mr Wade Mark, Speaker of Trinidad and Tobago"
9c5a6e4c-f048-489f-834c-403eaf1c5f23,Julie Isabel Bishop,Liberal Party of Australia,Curtin,2014-03-02,Unknown,Other,"Rimbink Pato, Papua New Guinea Minister for Foreign Affairs.","Rimbink Pato, Papua New Guinea Minister for Foreign Affairs.",Framed Bird of Paradise,Framed Bird of Paradise 5 February 2014 (on loan for Display purposes in M127)
42e8d544-7281-4df6-ac58-31424388e1e5,Julie Isabel Bishop,Liberal Party of Australia,Curtin,2014-04-18,Asset,Real Estate,President of the Swiss Confederation and Head of the Federal Department of Foreign Affairs,President of the Swiss Confederation and Head of the Federal Department of Foreign Affairs,Swiss watch,Swiss watch 27 March 2014
fa230cff-ecae-426d-b317-301f399ac5eb,Julie Isabel Bishop,Liberal Party of Australia,Curtin,2014-08-18,Travel,Other Travel,Kerry and Christine Stokes,Kerry and Christine Stokes,Flights Perth - Broome - Sydney and Accommodation Broome WA,Flights Perth - Broome - Sydney Accommodation Broome WA 14-17 August
457454fe-747e-4a9d-b4b2-6475349b466a,Julie Isabel Bishop,Liberal Party of Australia,Curtin,2015-02-11,Unknown,Other,Australian Subscription Television and Radio Association (ASTRA),Australian Subscription Television and Radio Association,Foxtel Subscription,"Foxtel Subscription
Electorate Office Subiaco
From January 2015
"
f36dea44-bb6b-4716-8dd7-23cdf05f03b4,Julie Isabel Bishop,Liberal Party of Australia,Curtin,2015-08-20,Asset,Other Asset,Kerry and Christine Stokes,Kerry and Christine Stokes,Flights and Broome Cup Ticket,"Flights Canberra – Broome- Sydney
13 August and 16 August 2015
1 x Corporate Ticket to Broome Cup Racing Carnival
15 August 2015"
4394215d-9a8e-40ff-a96e-02d2d233d870,Julie Isabel Bishop,Liberal Party of Australia,Curtin,2015-08-31,Asset,Real Estate,Kerry and Christine Stokes,Kerry and Christine Stokes,Accommodation in Broome,"Accommodation Broome
13-15 August 2015"
2fe0ab4a-0cff-46a4-9d5b-7b6063f24550,Julie Isabel Bishop,Liberal Party of Australia,Curtin,2015-12-04,Unknown,Other,Minister Pato/Wapenamanda Community,Minister Pato/Wapenamanda Community,Pigs,"2x Pigs gift by Minister Pato/Wapenamanda Community
(Donated to local hospital)"
1cf40a30-46d3-4165-9874-752aa1ab814c,Julie Isabel Bishop,Liberal Party of Australia,Curtin,2016-03-24,Unknown,Other,+HUNTR,+HUNTR,Running gear,+HUNTR - Running gear
2a96d8c4-64ae-4397-9164-88f9ddc1360b,Christopher Bowen,Australian Labor Party,McMahon,2015-03-25,Asset,Other Asset,Evans + Partners,Evans + Partners,Georg Jensen Wine Carafe,"A Georg Jensen wine carafe: Wednesday 25 March, 2015, I received a wine carafe from the Executive Chairman of Evans + Partners, David Evans."
f0473df4-03ac-4d65-a60a-277ccad2ff94,Christopher Bowen,Australian Labor Party,McMahon,2015-05-25,Travel,Other Travel,Australia-Guangdong Chamber of Commerce and the Communist Party of China,Australia-Guangdong Chamber of Commerce and the Communist Party of China,Trip to Hong Kong and China,"On 26 April 2015 I travelled to Hong Kong and China for five days as a guest of the Australia - Guangdong Chamber of Commerce and the Communist Party of China, with some additional accommodation. My wife accompanied me on this trip. I engaged in high level meetings with business and government officials."
22dd11dc-1335-4011-8d44-84d6a36cf33b,Jamie Edward Briggs,Liberal Party of Australia,Mayo,2013-11-13,Gift,Entertainment,Emirates and Lion,Emirates and Lion,Two marquee tickets for 2013 Derby Day,Two marquee tickets courtesy of Emirates and Lion for 2013 Derby Day
39a41fae-ed84-4eef-ace8-cf80e0c28ea4,Jamie Edward Briggs,Liberal Party of Australia,Mayo,2014-04-17,Gift,Other,Sino Hydro and Bridge Engineering,Sino Hydro and Bridge Engineering,Royal O'Queen Classic China set,"Six cups and saucers, one tea pot, one milk jug, and one sugar bowl designed in England. Presented by Sino Hydro and Bridge Engineering following a meeting. Royal O'Queen Classic China set"
c9d789b7-81b9-4642-98e0-b8876188f7a7,Andrew John Broad,National Party of Australia,Mallee,2013-11-20,Liability,Other Liability,"Rural Finance, Victoria","Rural Finance, Victoria",Farm Loan,Money owed on farmland
d4bb6048-25a9-4a27-a239-977a8cf6308f,Gai Marie Brodtmann,Australian Labor Party,Canberra,2013-12-10,Membership,Professional,"Qantas, Virgin Australia",Virgin Australia,Qantas Chairman's Lounge & Virgin Australia's The Club Memberships,"QANTAS CHAIRMAN'S LOUNGE MEMBERSHIP, VIRGIN AUSTRALIA'S THE CLUB MEMBERSHIP"
8eb816d7-3e5f-41b5-89bd-88571a7bffab,Gai Marie Brodtmann,Australian Labor Party,Canberra,2013-12-10,Income,Other Income,MEDIA ENTERTAINMENT AND ARTS ALLIANCE,MEDIA ENTERTAINMENT AND ARTS ALLIANCE,Membership of organisation,Membership of organisation where a conflict of interest with a Member's public duties could foreseeably arise or be seen to arise
6a5f2b13-ff82-4f91-9115-de8e014dbfde,Gai Marie Brodtmann,Australian Labor Party,Canberra,2013-12-10,Travel,Other Travel,Qantas/Emirates,Qantas/Emirates,Upgrade to First Class,Upgrade from business to first class by Qantas/Emirates for two legs of a return trip to Italy.
c1909bcd-b065-42be-8737-dff6f6785f9b,Gai Marie Brodtmann,Australian Labor Party,Canberra,2015-04-15,Travel,Other Travel,Australia/Israel and Jewish Affairs Council,Australia/Israel & Jewish Affairs Council (AIJAC),Travel to Israel,Travel to Israel funded by the Australia Israel and Jewish Affairs Council
694c7a46-22a2-49bc-a667-507df3740d7d,Gai Marie Brodtmann,Australian Labor Party,Canberra,2014-09-09,Travel,Other Travel,Hong Kong Economic and Trade Office,Hong Kong Economic and Trade Office,Study Tour of Hong Kong,Study tour of Hong Kong organized and paid for by the Hong Kong Economic and Trade Office.
836cd642-5f63-44f8-af55-674141a49e7a,Gai Marie Brodtmann,Australian Labor Party,Canberra,2016-02-15,Travel,Other Travel,Gates Foundation and Save the Children Australia,"Save the Children Australia, Gates Foundation",Visit to Cambodia,Visit to Cambodia from 17-23 January 2016. Delegation was funded by the Gates Foundation and organized by Save the Children Australia
7b710a3a-b7b0-4c0b-9ac5-abff5153aa39,Scott Buchholz,Liberal National Party,Wright,2013-12-09,Membership,Other Membership,SA Buchholz & LC Buchholz and CE Fanning & AH Fanning,SA Buchholz & LC Buchholz and CE Fanning & AH Fanning,Primary Production Financial Interest,Self; Financial; Primary Production
4e9443ef-ea55-413f-bda8-879049125473,Scott Buchholz,Liberal National Party,Wright,2013-12-09,Liability,Mortgage,Bendigo/Adelaide Bank,Bendigo/Adelaide Bank,Mortgage Loan,Self; Various Mortgage Loan Accounts
80f4635b-27eb-4131-b9d0-367a3d22ef64,Scott Buchholz,Liberal National Party,Wright,2013-12-09,Liability,Mortgage,Bendigo/Adelaide Bank,Bendigo/Adelaide Bank,Mortgage Loan Accounts,Spouse; Various Mortgage Loan Accounts
5d531fa3-a129-4bf4-9112-ae9a85759309,Scott Buchholz,Liberal National Party,Wright,2013-12-09,Asset,Other Asset,Bendigo/Adelaide Bank,Bendigo/Adelaide Bank,Savings Account,Self; Savings Account
5f9e002c-0f2e-48ac-b6f8-968273ebfda2,Scott Buchholz,Liberal National Party,Wright,2013-12-09,Asset,Other Asset,Bendigo/Adelaide Bank,Bendigo/Adelaide Bank,Savings Account,Spouse; Savings Account
5c67b0a5-07c9-4ba5-9083-29ef2f81c226,Anna Elizabeth Burke,Australian Labor Party,Chisholm,2013-11-14,Asset,Other Asset,Associate member Box Hill/Oakleigh and Carnegie/Clayton RSL,Associate member Box Hill/Oakleigh and Carnegie/Clayton RSL,RSL Membership,Self
1b6c961f-921b-4853-bee7-fea35996dd8c,Anna Elizabeth Burke,Australian Labor Party,Chisholm,2013-11-14,Unknown,Other,Ass of Professional Engineers Scientists and Managers Aust (APESMA),Ass of Professional Engineers Scientists and Managers Aust. (APESMA),Ass of Professional Engineers Scientists and Managers Aust (Spouse),Spouse
b27d892b-6a86-4633-a172-dca1a4bd4700,Anna Elizabeth Burke,Australian Labor Party,Chisholm,2014-10-28,Liability,Other Liability,Mortgage/Credit Card Bank of Melbourne,Mortgage/Credit Card Bank of Melbourne,Mortgage/Credit Card,Self/Spouse
3ba6a76e-821e-4e32-b7f5-bd3a601c7f89,Anna Elizabeth Burke,Australian Labor Party,Chisholm,2014-10-28,Asset,Other Asset,"Bankvic, Victorian Teachers Mutual Bank","Bankvic, Victorian Teachers Mutual Bank",Bank Account,Dependent Children Madeleine
0505febe-7014-487d-8baf-98b34864e43d,Anna Elizabeth Burke,Australian Labor Party,Chisholm,2014-10-28,Unknown,Other,"Wilson Medic One, Benetas","Wilson Medic One, Benetas","Wilson Medic One, Benetas (Spouse)",Spouse
9c235580-3016-4074-818f-d21a5e9ef237,Anna Elizabeth Burke,Australian Labor Party,Chisholm,2014-10-29,Asset,Other Asset,ESSS / Uni Super,ESSS / Uni Super,Superannuation Account,"Spouse, Accounts, DELETION"
0751a9da-2657-49bc-9383-21d5b332715a,Tony Burke,Australian Labor Party,Watson,2013-12-10,Travel,Other Travel,"Australian Opera, Sydney Theatre Company, Belvoir Theatre Company","Australian Opera, Sydney Theatre Company, Belvoir Theatre Company",Theatre & Opera Performances,"Selected performances - Australian Opera, Sydney Theatre Company, Belvoir Theatre Company"
120bf2d5-ae3f-42dd-8ad5-532a1e9f6974,Tony Burke,Australian Labor Party,Watson,2014-10-22,Travel,Other Travel,"Chugg Entertainment, NRL, Canterbury Bulldogs","Chugg Entertainment, NRL, Canterbury Bulldogs","Concert & Rugby League Tickets, Memorabilia","Tickets from Chugg Entertainment to the Robbie Williams Concert at Allphones Arena Sydney Olympic Park, Sunday 28 September 2014. Tickets from NRL to National Rugby League Grand Final at ANZ Stadium Sunday 5th October, 2014. Assorted Canterbury Bankstown Bulldogs Memorabilia from the Canterbury Bulldogs."
184a4e4f-f9a0-4458-bb4e-c188bccaffd7,Tony Burke,Australian Labor Party,Watson,2015-06-23,Gift,Electronics,"SBS, NRMA","SBS, NRMA",Mid-winter Ball & Corporate Box tickets,"Mid-winter Ball – SBS, Wednesday, 17 June, 2015; Corporate Box, All Phones Arena – NRMA, Saturday, 20 June, 2015"
e4b04fb3-918a-41b5-80ed-adde530fc318,Tony Burke,Australian Labor Party,Watson,2015-07-31,Travel,Other Travel,"Kazaru Pty Ltd, 123 Childcare","Kazaru Pty Ltd, 123 Childcare",Transport to China,"Cost of transport to China from July 6 - July 13, 2015 provided by Kazaru Pty Ltd. Transfers and accommodation provided by 123 Childcare."
